"","LPI_final","CI_low","CI_high","years","label","sim"
"195",0.865825032184994,0.86274391680943,0.86866836658033,2002,"convex",1
"196",0.852147506054701,0.849188755280565,0.854932170698234,2003,"convex",1
"197",0.837366625366214,0.834408406089196,0.840123783432812,2004,"convex",1
"198",0.821632013570537,0.818819174173966,0.82434213668074,2005,"convex",1
"199",0.804871471855671,0.802072147979606,0.807621598407621,2006,"convex",1
"200",0.786698663657394,0.783915591881671,0.789278375479447,2007,"convex",1
"201",0.767479698490192,0.764775970514337,0.770066807897923,2008,"convex",1
"202",0.746712544259232,0.744072677540964,0.74922145273736,2009,"convex",1
"203",0.724163527590566,0.721572229671851,0.726648580042249,2010,"convex",1
"204",0.699914853786496,0.697415412310972,0.702297489026944,2011,"convex",1
"205",0.674164213780656,0.671731241381344,0.676544034564832,2012,"convex",1
"206",0.646937348894179,0.644612384118488,0.649234055876471,2013,"convex",1
"207",0.617859241661842,0.615595968538989,0.620050982034138,2014,"convex",1
"208",0.58654626836887,0.584382020802665,0.588692734046858,2015,"convex",1
"209",0.553343616886944,0.551247421039352,0.55539064378322,2016,"convex",1
"210",0.518214611332504,0.516226623862236,0.520121137181764,2017,"convex",1
"211",0.480875993290342,0.478976589667162,0.482674419774545,2018,"convex",1
"212",0.441871020836812,0.44018206454824,0.443544102649756,2019,"convex",1
"213",0.40352504608036,0.401926441308349,0.405059201074127,2020,"convex",1
